FAHRPLAN_ANLAUFPUNKT_UID;FAHRPLAN_UID;FAHRPLAN_ID;LKW_KENNZEICHEN;ANLAUFPUNKT_SEQUENZNUMMER;ALP_IST_ERSTER_ALP;ALP_IST_LETZTER_ALP;ANLAUFPUNKT_UID;ANLAUFPUNKT_NAME;ANLAUFPUNKT_HALTESTELLE;ANLAUFPUNKT_SPUR;ANLAUFPUNKT_LAGERBEREICH;FP_ZEITPUNKT_ERSTELLUNG;ALP_ZEITPUNKT_BEREITMELDUNG;ALP_ZEITPUNKT_ERFUELLUNG;FP_ZEITPUNKT_GATEOUT;FP_DAUER_GATEIN_ERSTER_ALP_SEK;ALP_DAUER_ABFERTIGUNG_SEK;ALP_DAUER_NAECHSTER_ALP_SEK;FP_DAUER_LETZT_ALP_GATEOUT_SEK;FP_DAUER_GATEIN_GATEOUT_SEK;LETZTE_AKTUALISIERUNG;FAHRPLAN_HALTESTELLEN_LISTE;ANLAUFPUNKT_AUFTRAG_LISTE;ANLAUFPUNKT_ANZAHL_CONTAINER;TruckVisitGkey;container_id
TP_15267162603_TPS_18498952603;TP_15267162603;295691;a88b9f8389f91c200b4bc354adb5636e1df4771ea0edc0bb10d07ea5d98ff619;2,03E+28;0;1;TPS_18498952603;HO2.25;HO2;25.0;VC;2026-03-20 18:55:00;2026-03-20 19:46:00;2026-03-20 19:53:00;2026-03-20 20:12:00;;441.0;;1132.0;4641.0;20.03.2026 21:08;HO2, T09;16960a18-248d-11f1-b61e-63d11f409480;1;1983326177;
TP_15267172603_TPS_18624492603;TP_15267172603;273115;5598acb550bb5466a352edf91d399f53a7659ed8c1c9ab3f48b828d5eaee43c5;2,03E+28;0;0;TPS_18624492603;HO2.28;HO2;28.0;VC;2026-03-20 18:55:00;2026-03-20 19:35:00;2026-03-20 19:44:00;2026-03-20 20:09:00;;561.0;504.0;;;20.03.2026 21:08;HO2, T09, T13;f9ed19e4-2485-11f1-b789-276a10418f61;1;1983322724;
TP_15267472603_TPS_18625022603;TP_15267472603;724044;49451bfca327b6a47bfaac45a0f5b3a77a8c122f49e6d4b9ed84a5029ea45bf4;2,03E+28;0;1;TPS_18625022603;HO2.28;HO2;28.0;VC;2026-03-20 21:17:00;2026-03-20 21:56:00;2026-03-20 22:01:00;2026-03-20 22:18:00;;295.0;;1022.0;3641.0;20.03.2026 23:06;HO2, T08, T13;dbc0df1e-2499-11f1-97af-d78c849bbaf6;1;1983464037;
TP_15267782603_TPS_18621002603;TP_15267782603;868698;62ddb807a3c0d99ca6f111ea6878cddd0f5ae6e72f318437df012e45780326a4;2,03E+28;1;1;TPS_18621002603;HO2.27;HO2;27.0;VC;2026-03-21 10:03:00;2026-03-21 10:10:00;2026-03-21 10:15:00;2026-03-21 10:19:00;406.0;256.0;;268.0;930.0;21.03.2026 11:06;HO2;e68a7ffc-2504-11f1-8645-5ff912822eef;1;;
TP_15268082603_TPS_18602352603;TP_15268082603;595828;2b3cb120040bcc21e36bbefd73b0b6702a12ce81547cfdd86da1445499b8ee13;2,03E+28;0;1;TPS_18602352603;T18.02.01;T18;2.0;RMG;2026-03-20 14:56:00;2026-03-20 15:42:00;2026-03-20 15:55:00;2026-03-20 17:47:00;;801.0;;6728.0;10249.0;20.03.2026 18:35;T18, T27;301237c8-2465-11f1-a19f-e71aa82cd74a;1;1982362162;
TP_15268212603_TPS_18602372603;TP_15268212603;968683;721c0d3130bf2a4e4e52a19bc914b253d27999b98e683d866caa3a07f4c6779b;2,03E+28;1;1;TPS_18602372603;HO2.32;HO2;32.0;VC;2026-03-20 15:14:00;2026-03-20 15:30:00;2026-03-20 15:38:00;2026-03-20 17:51:00;983.0;492.0;;7939.0;9414.0;20.03.2026 18:35;HO2;3d18570a-2469-11f1-a1bb-c79759f41044;1;1982435567;
TP_15268262603_TPS_18602362603;TP_15268262603;398456;1bdc9a77a284d9ecbf6ef7c06f81ae8d4b6cdbd9c4bbbbc893bb733b8069bdd4;2,03E+28;1;1;TPS_18602362603;T24.03.01;T24;3.0;RMG;2026-03-20 15:16:00;2026-03-20 15:36:00;2026-03-20 15:48:00;2026-03-20 17:24:00;1196.0;724.0;;5756.0;7676.0;20.03.2026 18:05;T24;831b2c6a-2468-11f1-a1b7-4b6a177538d3;1;1982447177;
TP_15268362603_TPS_18602442603;TP_15268362603;864802;eba641802f33fbbf20050af26c18be5c591791d9d27b4510751fbf616f3a857d;2,03E+28;0;1;TPS_18602442603;HO2.32;HO2;32.0;VC;2026-03-20 15:21:00;2026-03-20 16:19:00;2026-03-20 16:27:00;2026-03-20 16:55:00;;478.0;;1689.0;5630.0;20.03.2026 17:35;HO2, T15;2224ab36-2470-11f1-a1f4-431198d2a7d4;1;1982463929;
TP_15268552603_TPS_18498942603;TP_15268552603;235774;17ede0719eec8082a3e691c0f5a30a20c46a7ba21904c3cdad25c7371c7660b2;2,03E+28;0;1;TPS_18498942603;HO2.31;HO2;31.0;VC;2026-03-20 15:32:00;2026-03-20 16:50:00;2026-03-20 16:54:00;2026-03-20 17:00:00;;217.0;;366.0;5245.0;20.03.2026 18:05;HO2, T18;;0;1982524441;
TP_15268552603_TPS_18602392603;TP_15268552603;235774;17ede0719eec8082a3e691c0f5a30a20c46a7ba21904c3cdad25c7371c7660b2;2,03E+28;1;0;TPS_18602392603;T18.03.01;T18;3.0;RMG;2026-03-20 15:32:00;2026-03-20 15:48:00;2026-03-20 16:13:00;2026-03-20 17:00:00;944.0;1521.0;2197.0;;;20.03.2026 18:05;HO2, T18;94b22ec2-246a-11f1-a1c3-f7d174f29d69;1;1982524441;
TP_15268702603_TPS_18602432603;TP_15268702603;290888;8f844e5caa714dfffac8f5e7a7c5d2102e153afbd57bf055a144bc7298265b16;2,03E+28;0;1;TPS_18602432603;HO2.33;HO2;33.0;VC;2026-03-20 15:35:00;2026-03-20 16:03:00;2026-03-20 16:07:00;2026-03-20 16:21:00;;229.0;;835.0;2765.0;20.03.2026 17:06;HO2, T22;e6379a22-246d-11f1-a1e9-1717061da74e;1;1982527545;
TP_15268792603_TPS_18602492603;TP_15268792603;346237;6502697ba45eca187b1550a3ed885f960644420aaaf1a4a0d2a8330b5ef49ee9;2,03E+28;0;1;TPS_18602492603;T24.03.01;T24;3.0;RMG;2026-03-20 15:36:00;2026-03-20 17:40:00;2026-03-20 17:47:00;2026-03-20 17:51:00;;429.0;;257.0;8105.0;20.03.2026 18:35;T21, T24;6cd132f2-247b-11f1-a259-df7f8302b52e;1;1982526554;
TP_15268792603_TPS_18602402603;TP_15268792603;346237;6502697ba45eca187b1550a3ed885f960644420aaaf1a4a0d2a8330b5ef49ee9;2,03E+28;1;0;TPS_18602402603;T21.04.01;T21;4.0;RMG;2026-03-20 15:36:00;2026-03-20 15:51:00;2026-03-20 16:00:00;2026-03-20 17:51:00;912.0;495.0;6012.0;;;20.03.2026 18:35;T21, T24;c8f8eafe-246a-11f1-a1ca-4beac7d3cdd5;1;1982526554;
TP_15269172603_TPS_18621462603;TP_15269172603;370926;fba09e57ee872dd66ffdcb5344624aa2529353484d3f4835986b3c17c9910442;2,03E+28;0;1;TPS_18621462603;HO2.23;HO2;23.0;VC;2026-03-20 15:01:00;2026-03-20 16:17:00;2026-03-20 16:23:00;2026-03-20 16:29:00;;337.0;;351.0;5246.0;20.03.2026 17:35;HO2, T06;59f0fa8e-2465-11f1-baf7-cb2b2bb58f2a;1;1982369200;
TP_15269212603_TPS_18621502603;TP_15269212603;397361;d01baac222fd335cd388367ce855e1a159fd449960d541e73d60f4f710e8ed73;2,03E+28;1;1;TPS_18621502603;T15.01.01;T15;1.0;RMG;2026-03-20 15:02:00;2026-03-20 15:17:00;2026-03-20 15:24:00;2026-03-20 15:33:00;847.0;458.0;;551.0;1856.0;20.03.2026 16:35;T15;80e46568-2465-11f1-bb03-1718ad79573f;1;;
TP_15269362603_TPS_18613552603;TP_15269362603;494395;ce4564eac4d4c9e3054ae520658438da95f891f87a26dde2d07d0544bbb6dfff;2,03E+28;1;1;TPS_18613552603;T22.01.01;T22;1.0;RMG;2026-03-20 15:54:00;2026-03-20 15:59:00;2026-03-20 16:28:00;2026-03-20 16:33:00;254.0;1770.0;;280.0;2304.0;20.03.2026 17:35;T22;c490a432-246c-11f1-be48-279f616944ac;1;;
TP_15269552603_TPS_18623002603;TP_15269552603;771449;52a83d1028cb2b73cd77f2d485324735c82846ece08c2a7bca3fca7cb09e2344;2,03E+28;0;1;TPS_18623002603;HO2.28;HO2;28.0;VC;2026-03-20 16:34:00;2026-03-20 17:05:00;2026-03-20 17:09:00;2026-03-20 17:18:00;;253.0;;543.0;2657.0;20.03.2026 18:05;HO2, T10;4d4545e4-2472-11f1-a2ae-eb0d4804c359;1;1982768251;
TP_15269812603_TPS_18622242603;TP_15269812603;977978;c1dac71a58c7b434d6dbbaad25e7cb0522c82375e249c295ac7b1d654ec66ec6;2,03E+28;1;1;TPS_18622242603;T14.02.01;T14;2.0;RMG;2026-03-20 18:32:00;2026-03-20 18:38:00;2026-03-20 18:42:00;2026-03-20 18:47:00;302.0;293.0;;257.0;852.0;20.03.2026 19:08;T14;d7af4e86-2482-11f1-afcb-935e0874a77a;1;;
TP_15270182603_TPS_18625202603;TP_15270182603;316880;b6e4ff469ac0ea0f5dcdb59570e72180ab0f2278594c277d06e21ce8ae7e44df;2,03E+28;0;1;TPS_18625202603;T24.03.01;T24;3.0;RMG;2026-03-20 23:49:00;2026-03-21 00:20:00;2026-03-21 00:24:00;2026-03-21 00:40:00;;200.0;;998.0;3044.0;21.03.2026 01:35;LL, T24;1ff7703e-24af-11f1-a13e-33d3ac2da509;1;;
TP_15270182603_20260321001209000000023486750;TP_15270182603;316880;b6e4ff469ac0ea0f5dcdb59570e72180ab0f2278594c277d06e21ce8ae7e44df;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-20 23:49:00;2026-03-20 23:58:00;2026-03-21 00:12:00;2026-03-21 00:40:00;515.0;815.0;516.0;;;21.03.2026 01:35;LL, T24;86da9865-24b1-11f1-bf91-b3147eaeaae8;1;;
TP_15270322603_TPS_18629732603;TP_15270322603;839674;eb76fc024e4c611c9b75382ca1bf52c7e634db153aae6a074332136122fbad58;2,03E+28;1;1;TPS_18629732603;T14.04.01;T14;4.0;RMG;2026-03-21 08:08:00;2026-03-21 08:12:00;2026-03-21 08:24:00;2026-03-21 08:39:00;238.0;686.0;;911.0;1835.0;21.03.2026 09:35;T14;d571b358-24f4-11f1-9901-77cc74983358;1;;
TP_15270812603_TPS_18602512603;TP_15270812603;670653;df978fcfd43bbb1a91975596ff07da3c119c26aeebc89d82c5611723218f9edd;2,03E+28;0;1;TPS_18602512603;HO2.31;HO2;31.0;VC;2026-03-20 17:34:00;2026-03-20 18:03:00;2026-03-20 18:06:00;2026-03-20 18:16:00;;170.0;;596.0;2518.0;20.03.2026 19:08;HO2, T09;bcb4a2ba-247e-11f1-a281-e3959f8dcaf9;1;1982917953;
TP_15271732603_TPS_18623262603;TP_15271732603;474983;f02a318667cb8826f714297c1ae55b831e1b6405eb605c3ea54cb23cd19b6f77;2,03E+28;0;1;TPS_18623262603;HO2.31;HO2;31.0;VC;2026-03-20 16:40:00;2026-03-20 16:58:00;2026-03-20 17:01:00;2026-03-20 17:14:00;;190.0;;780.0;2065.0;20.03.2026 18:05;HO2, T21;11f28726-2473-11f1-a3bb-2bba2b8d04d0;1;1982777286;
TP_15271792603_TPS_18602502603;TP_15271792603;763414;aed1780ed51a8c579e04499c0ecdce89874518f63d2da0e2f81ae5acff3717c7;2,03E+28;0;1;TPS_18602502603;HO2.31;HO2;31.0;VC;2026-03-20 16:50:00;2026-03-20 17:52:00;2026-03-20 17:56:00;2026-03-20 18:42:00;;265.0;;2728.0;6741.0;20.03.2026 19:08;HO2, T16;bd5e7ad6-247b-11f1-a25c-432c5c03ddf0;1;1982795862;
TP_15272462603_TPS_18624762603;TP_15272462603;713777;041a3e5a4608037cd4bcbb304dbded66506ca6135a9c9efcfc0ab101379918f8;2,03E+28;0;1;TPS_18624762603;HO2.28;HO2;28.0;VC;2026-03-20 20:32:00;2026-03-20 21:11:00;2026-03-20 21:16:00;2026-03-20 21:23:00;;345.0;;395.0;3042.0;20.03.2026 22:05;HO2, T14;de2bb392-2498-11f1-b635-5ba54dce4789;1;1983429457;
TP_15272572603_20260320210201000000023480400;TP_15272572603;239288;4b224ff2159a7bbb2ef98016a40c2415587aa7022405b5d2c7d13c0a6993a7e6;2,03E+28;1;1;2,03E+28;LL;LL;;Leerlager;2026-03-20 20:53:00;2026-03-20 20:58:00;2026-03-20 21:02:00;2026-03-20 21:04:00;296.0;186.0;;164.0;646.0;20.03.2026 22:05;LL;48b79b81-2497-11f1-bf91-b3147eaeaae8;1;;
TP_15272982603_TPS_18602472603;TP_15272982603;D527297;;2,03E+28;1;1;TPS_18602472603;T24.04.01;T24;4.0;RMG;2026-03-20 17:08:00;2026-03-20 17:08:00;2026-03-20 17:20:00;2026-03-20 17:20:00;1.0;705.0;;0.0;706.0;20.03.2026 18:05;T24;09309ef8-2477-11f1-a22e-c79875d72450;1;;
TP_15273002603_TPS_18602482603;TP_15273002603;D527299;;2,03E+28;1;1;TPS_18602482603;T24.01.01;T24;1.0;RMG;2026-03-20 17:39:00;2026-03-20 17:39:00;2026-03-20 17:43:00;2026-03-20 17:43:00;0.0;199.0;;0.0;199.0;20.03.2026 18:35;T24;67e2f74e-247b-11f1-a254-2b6fb9fcb865;1;;
TP_15274292603_TPS_18622582603;TP_15274292603;632857;7e5dda5755ec1214b8504dbc45ef07c2f1d41bf5b2eae5f384b8ef37fb7596f0;2,03E+28;0;1;TPS_18622582603;HO2.27;HO2;27.0;VC;2026-03-20 19:53:00;2026-03-20 20:23:00;2026-03-20 20:28:00;2026-03-20 20:40:00;;242.0;;723.0;2813.0;20.03.2026 21:08;HO2, T08, T17;0ada1b1e-248e-11f1-b70e-e77fc6f27eef;1;1983387102;
TP_15278252603_TPS_18629652603;TP_15278252603;841132;7c2393e2aa241187546ecd0cb82068d2a694f390a3e604c78b8b9587e8454371;2,03E+28;0;1;TPS_18629652603;T06.01.01;T06;1.0;RMG;2026-03-21 07:35:00;2026-03-21 07:58:00;2026-03-21 08:03:00;2026-03-21 08:18:00;;310.0;;858.0;2523.0;21.03.2026 09:06;LL, T06;397ec6ec-24f0-11f1-93af-c782d03eeb5a;1;;
TP_15278252603_20260321075223000000023493307;TP_15278252603;841132;7c2393e2aa241187546ecd0cb82068d2a694f390a3e604c78b8b9587e8454371;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-21 07:35:00;2026-03-21 07:44:00;2026-03-21 07:52:00;2026-03-21 08:18:00;491.0;493.0;371.0;;;21.03.2026 09:06;LL, T06;6e95dfd9-24f1-11f1-bf91-b3147eaeaae8;1;;
TP_15279802603_TPS_18632192603;TP_15279802603;985030;0bae982dadb29983bac22cf2a06e261cbad1a30587a74ab0e2a9d7e03c1ee998;2,03E+28;1;1;TPS_18632192603;T24.04.01;T24;4.0;RMG;2026-03-21 06:25:00;2026-03-21 06:33:00;2026-03-21 06:42:00;2026-03-21 06:49:00;470.0;510.0;;460.0;1440.0;21.03.2026 07:35;T24;724bf198-24e6-11f1-97b9-7f0e087703bc,7259a842-24e6-11f1-97ba-abba20da18c0;2;;
TP_15280922603_TPS_18630242603;TP_15280922603;726498;12d26685a5992efb262f61ea539e76efd83d6d5b2e6050c1a9bc8d83c7f9f527;2,03E+28;0;1;TPS_18630242603;T13.03.01;T13;3.0;RMG;2026-03-23 06:24:00;2026-03-23 06:43:00;2026-03-23 06:50:00;2026-03-23 06:57:00;;379.0;;402.0;1921.0;23.03.2026 08:05;LL, T13;a3312f92-2678-11f1-8e44-735188c80898;1;;
TP_15280922603_20260323063804000000023573360;TP_15280922603;726498;12d26685a5992efb262f61ea539e76efd83d6d5b2e6050c1a9bc8d83c7f9f527;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-23 06:24:00;2026-03-23 06:30:00;2026-03-23 06:38:00;2026-03-23 06:57:00;345.0;440.0;355.0;;;23.03.2026 08:05;LL, T13;d5dfad41-2679-11f1-bf91-b3147eaeaae8;1;;
TP_15281132603_TPS_18639382603;TP_15281132603;664334;c9e886feb163b4cf35e51fd3e0f9302da3b2772c7fa948231557a950bc88df41;2,03E+28;0;1;TPS_18639382603;HO2.31;HO2;31.0;VC;2026-03-23 06:34:00;2026-03-23 06:52:00;2026-03-23 06:57:00;2026-03-23 07:04:00;;307.0;;385.0;1800.0;23.03.2026 08:05;HO2, T27;829016b4-267c-11f1-92fc-eb75743935b5;1;1987490123;
TP_15281742603_TPS_18641682603;TP_15281742603;559890;854a46de0ff32525c31217ef193f1426414ff9b981b39fe1d6a170daedf323cc;2,03E+28;1;1;TPS_18641682603;T09.02.01;T09;2.0;RMG;2026-03-23 07:47:00;2026-03-23 07:53:00;2026-03-23 08:01:00;2026-03-23 08:21:00;323.0;517.0;;1179.0;2019.0;23.03.2026 09:06;T09;3b3021c6-2684-11f1-a257-9f8220440768;1;;
TP_15283442603_TPS_18636932603;TP_15283442603;962845;dccddbb28ff06dfc6cf0178ca8a5d27ddca8ddf8f9e15099d0371476e9a9007c;2,03E+28;1;1;TPS_18636932603;T27.02.01;T27;2.0;RMG;2026-03-23 05:52:00;2026-03-23 05:58:00;2026-03-23 06:00:00;2026-03-23 06:07:00;321.0;130.0;;401.0;852.0;23.03.2026 07:06;T27;2aa52f32-2674-11f1-bdd6-af1efd07ba43;1;;
TP_15283732603_TPS_18638212603;TP_15283732603;810360;359811decec69c0c3448fd5700769f86c081c64ae4be4efe27da10bd64dba4a6;2,03E+28;1;1;TPS_18638212603;T08.03.01;T08;3.0;RMG;2026-03-23 06:34:00;2026-03-23 06:38:00;2026-03-23 06:42:00;2026-03-23 06:47:00;211.0;255.0;;261.0;727.0;23.03.2026 07:35;T08;08c13856-267a-11f1-8f6b-7f59381c1ed9;1;;
TP_15283782603_TPS_18638282603;TP_15283782603;720838;52c1003f445a48f09e5e9e5e598674b75e8f6f76552c3f7f5b0de531d77dff24;2,03E+28;0;1;TPS_18638282603;T15.03.01;T15;3.0;RMG;2026-03-23 06:35:00;2026-03-23 06:51:00;2026-03-23 06:58:00;2026-03-23 07:04:00;;388.0;;350.0;1681.0;23.03.2026 08:05;LL, T15;2cbe2ad4-267a-11f1-8f91-7b2f142952a8;1;;
TP_15283782603_20260323064503000000023573372;TP_15283782603;720838;52c1003f445a48f09e5e9e5e598674b75e8f6f76552c3f7f5b0de531d77dff24;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-23 06:35:00;2026-03-23 06:40:00;2026-03-23 06:45:00;2026-03-23 07:04:00;294.0;250.0;399.0;;;23.03.2026 08:05;LL, T15;e779a2b0-267a-11f1-bf91-b3147eaeaae8;1;;
TP_15284022603_TPS_18637372603;TP_15284022603;645725;99af8151273625695a77d674ceb8378d1502c5d6dcb84934ce75853f80db18df;2,03E+28;0;1;TPS_18637372603;HO2.32;HO2;32.0;VC;2026-03-23 06:48:00;2026-03-23 07:29:00;2026-03-23 08:05:00;2026-03-23 08:12:00;;2172.0;;453.0;5032.0;23.03.2026 09:06;HO2, LL;fd557c28-267b-11f1-b96c-575e3b4cdc2f,fd608c4e-267b-11f1-b96d-6f53ad5c26b6;2;;
TP_15284022603_20260323071600000000023573417;TP_15284022603;645725;99af8151273625695a77d674ceb8378d1502c5d6dcb84934ce75853f80db18df;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-23 06:48:00;2026-03-23 06:54:00;2026-03-23 07:16:00;2026-03-23 08:12:00;306.0;1315.0;786.0;;;23.03.2026 09:06;HO2, LL;7eec0e46-267e-11f1-bf91-b3147eaeaae8;1;;
TP_15284372603_TPS_18641402603;TP_15284372603;391566;48f3371a6a2a64855b8ab79f60e9ed942c7e99bafa767beae23880223390bd06;2,03E+28;0;1;TPS_18641402603;HO2.27;HO2;27.0;VC;2026-03-23 07:40:00;2026-03-23 08:28:00;2026-03-23 08:45:00;2026-03-23 09:07:00;;1067.0;;1281.0;5216.0;23.03.2026 10:05;HO2, LL, T07;2b7309de-2683-11f1-a1c0-57140b5216b6;1;1987814404;
TP_15284522603_TPS_18639392603;TP_15284522603;296425;11de731f9c66abb83ba2e050ffeac4aeb7c4fe4ac6ec70f1a5fad8c083295702;2,03E+28;0;1;TPS_18639392603;HO2.32;HO2;32.0;VC;2026-03-23 06:36:00;2026-03-23 06:53:00;2026-03-23 06:59:00;2026-03-23 07:09:00;;367.0;;555.0;1948.0;23.03.2026 08:05;HO2, T24;a14f8440-267c-11f1-92fd-b351d22e811c;1;1987494772;
TP_15284642603_TPS_18640972603;TP_15284642603;259355;9761fb84513dc9e055f97387b1228810e56d2399676bfe2c804b97240ce5047b;2,03E+28;1;1;TPS_18640972603;T15.03.01;T15;3.0;RMG;2026-03-23 07:29:00;2026-03-23 07:42:00;2026-03-23 07:53:00;2026-03-23 07:58:00;769.0;617.0;;331.0;1717.0;23.03.2026 09:06;T15;b78b8858-2681-11f1-a09a-4772fa2c46b7;1;;
TP_15284932603_TPS_18646512603;TP_15284932603;988310;3e475a632f4fed2568feb52c7f086fe4a37187b5286cc5f2d349235f5bc9f1b4;2,03E+28;1;1;TPS_18646512603;T09.01.01;T09;1.0;RMG;2026-03-23 08:57:00;2026-03-23 09:03:00;2026-03-23 09:11:00;2026-03-23 09:18:00;350.0;454.0;;448.0;1252.0;23.03.2026 10:05;T09;02abe970-268e-11f1-a2a8-abab4bb5d863;1;;
TP_15285002603_TPS_18646652603;TP_15285002603;823386;fb180e9af14e844ed8ff5b81fcdc3a80f213d11e68db8d1df4dd84a39fbd4e46;2,03E+28;0;0;TPS_18646652603;HO2.26;HO2;26.0;VC;2026-03-23 09:04:00;2026-03-23 10:21:00;2026-03-23 10:31:00;2026-03-23 12:28:00;;587.0;2942.0;;;23.03.2026 13:35;HO2, LL, T11, T27;e3a1b40a-268e-11f1-a3ec-9fcab9a987c8;1;1988493461;
TP_15285802603_TPS_18639372603;TP_15285802603;902257;3f6f802573d68df0d7bc6d3893060f5889ccf1216457cd3fc3102da872b13b51;2,03E+28;0;1;TPS_18639372603;HO2.24;HO2;24.0;VC;2026-03-23 06:39:00;2026-03-23 06:52:00;2026-03-23 06:56:00;2026-03-23 07:03:00;;235.0;;423.0;1435.0;23.03.2026 08:05;HO2, T12;690041f6-267c-11f1-92fb-0b2669bf227d;1;1987495088;
TP_15285822603_TPS_18641932603;TP_15285822603;241477;06a2f9f97784ce70a7d9c27919f3518d04a6527ab888138c3406b008e4726523;2,03E+28;0;1;TPS_18641932603;HO2.26;HO2;26.0;VC;2026-03-23 06:40:00;2026-03-23 07:04:00;2026-03-23 07:35:00;2026-03-23 07:39:00;;1857.0;;205.0;3556.0;23.03.2026 08:35;HO2, T19;c6eaf792-267d-11f1-89c8-238f94b850b3;1;1987498939;
TP_15286622603_TPS_18647612603;TP_15286622603;366481;e9a6b0d17ed78f150ae2cfec1e1022ac8c0d1277c5909002cf9193e00c4e7c34;2,03E+28;0;1;TPS_18647612603;T09.03.01;T09;3.0;RMG;2026-03-23 09:52:00;2026-03-23 10:16:00;2026-03-23 10:27:00;2026-03-23 12:02:00;;657.0;;5680.0;7751.0;23.03.2026 13:06;LL, T09;b1d1524e-2695-11f1-ad93-ff857d6183f0;1;;
TP_15286622603_20260323100919000000023580347;TP_15286622603;366481;e9a6b0d17ed78f150ae2cfec1e1022ac8c0d1277c5909002cf9193e00c4e7c34;2,03E+28;1;0;2,03E+28;LL;LL;;Leerlager;2026-03-23 09:52:00;2026-03-23 10:00:00;2026-03-23 10:09:00;2026-03-23 12:02:00;442.0;538.0;434.0;;;23.03.2026 13:06;LL, T09;156eb56d-2697-11f1-bf91-b3147eaeaae8;1;;
TP_15288192603_TPS_18643862603;TP_15288192603;921596;4a8441e6b38eda40145d3071b2153c7fee3fb7c5ca3a9f117d9e8b91af63519d;2,03E+28;0;1;TPS_18643862603;T06.02.01;T06;2.0;RMG;2026-03-23 13:35:00;2026-03-23 14:57:00;2026-03-23 15:02:00;2026-03-23 15:11:00;;250.0;;547.0;5716.0;23.03.2026 16:05;T06, T20;d8b1bc4a-26b4-11f1-a654-77c1428e55d3;1;;
TP_15288192603_TPS_18643852603;TP_15288192603;921596;4a8441e6b38eda40145d3071b2153c7fee3fb7c5ca3a9f117d9e8b91af63519d;2,03E+28;1;0;TPS_18643852603;T20.01.01;T20;1.0;RMG;2026-03-23 13:35:00;2026-03-23 14:19:00;2026-03-23 14:33:00;2026-03-23 15:11:00;2584.0;858.0;1477.0;;;23.03.2026 16:05;T06, T20;d8b16254-26b4-11f1-a653-5b7b35504b55;1;;
TP_15288222603_TPS_18643902603;TP_15288222603;961453;f475d505dd68ef5e85fc6e6f1876343de947590363cafb1359ba9102a0f84b38;2,03E+28;1;1;TPS_18643902603;T20.04.01;T20;4.0;RMG;2026-03-23 13:36:00;2026-03-23 15:41:00;2026-03-23 15:51:00;2026-03-23 16:41:00;7492.0;603.0;;2969.0;11064.0;23.03.2026 17:35;T20;fc4895ac-26b4-11f1-a669-bbf6d43dc151;1;;
TP_15288472603_TPS_18647212603;TP_15288472603;740069;4848dd2edc811c41ed9caf93160135db0b89bcf9104c285830f647d90f937cea;2,03E+28;1;1;TPS_18647212603;T09.03.01;T09;3.0;RMG;2026-03-23 09:36:00;2026-03-23 09:40:00;2026-03-23 09:57:00;2026-03-23 10:02:00;228.0;1009.0;;282.0;1519.0;23.03.2026 11:06;T09;7513a426-2693-11f1-ab95-c3e36bddaa2d;1;;
TP_15288792603_TPS_18639032603;TP_15288792603;792984;829520a84e24a1b6b1e07b947f891289165c23c22a79da4a81e9ea94feca6da1;2,03E+28;1;1;TPS_18639032603;T17.02.01;T17;2.0;RMG;2026-03-23 10:48:00;2026-03-23 10:54:00;2026-03-23 11:05:00;2026-03-23 12:24:00;345.0;626.0;;4765.0;5736.0;23.03.2026 13:35;T17;8400e7dc-269d-11f1-ad7a-9b1afd78a2de;1;;
TP_15288872603_TPS_18644702603;TP_15288872603;234868;4311bd40bf75fede436b457f65f6dcbc861b8345d1e8f92a67381ade82868524;2,03E+28;0;1;TPS_18644702603;HO2.26;HO2;26.0;VC;2026-03-23 10:58:00;2026-03-23 11:26:00;2026-03-23 11:41:00;2026-03-23 14:29:00;;908.0;;10045.0;12608.0;23.03.2026 15:35;HO2, T06;e83a9f76-269e-11f1-90ad-7b1cc453deca;1;1988864387;
TP_15290092603_TPS_18647922603;TP_15290092603;816799;a4ba17c7300ba9fd9191843b29994e1571a7edfbf8bfbc4769c18372d63ba123;2,03E+28;1;1;TPS_18647922603;T20.01.01;T20;1.0;RMG;2026-03-23 10:07:00;2026-03-23 10:14:00;2026-03-23 10:27:00;2026-03-23 12:27:00;383.0;784.0;;7182.0;8349.0;23.03.2026 13:35;T20;ca2986a2-2697-11f1-ae51-d7ba054aceec;1;;
TP_15290282603_TPS_18639222603;TP_15290282603;441656;d1fedb772bfa5a1c0a3ec502f9608e930673959f65857c835164c00e49502af0;2,03E+28;1;1;TPS_18639222603;HO2.23;HO2;23.0;VC;2026-03-23 11:24:00;2026-03-23 11:33:00;2026-03-23 11:50:00;2026-03-23 15:39:00;508.0;993.0;;13774.0;15275.0;23.03.2026 16:35;HO2;8c58cd96-26a2-11f1-b45d-637c1c310387;1;;
